starttime,tripduration
2020-09-01 00:00:00,433
2020-09-01 00:00:00,878
2020-09-01 00:01:00,2652
2020-09-01 00:01:00,874
2020-09-01 00:01:00,858
2020-09-01 00:01:00,2205
2020-09-01 00:01:00,2124
2020-09-01 00:02:00,2539
2020-09-01 00:02:00,2521
2020-09-01 00:02:00,5292
2020-09-01 00:02:00,388
2020-09-01 00:04:00,2477
2020-09-01 00:04:00,574
2020-09-01 00:04:00,930
2020-09-01 00:04:00,1141
2020-09-01 00:06:00,311
2020-09-01 00:07:00,178
2020-09-01 00:08:00,963
2020-09-01 00:09:00,569
2020-09-01 00:11:00,527
2020-09-01 00:12:00,1334
2020-09-01 00:12:00,850
2020-09-01 00:13:00,201
2020-09-01 00:16:00,84
2020-09-01 00:17:00,1722
2020-09-01 00:17:00,827
2020-09-01 00:17:00,507
2020-09-01 00:21:00,459
2020-09-01 00:22:00,304
2020-09-01 00:22:00,273
2020-09-01 00:25:00,520
2020-09-01 00:26:00,2688
2020-09-01 00:26:00,2680
2020-09-01 00:26:00,298
2020-09-01 00:27:00,479
2020-09-01 00:27:00,219
2020-09-01 00:28:00,1111
2020-09-01 00:29:00,664
2020-09-01 00:30:00,2722
2020-09-01 00:30:00,2360
2020-09-01 00:31:00,620
2020-09-01 00:31:00,345
2020-09-01 00:32:00,1064
2020-09-01 00:37:00,304
2020-09-01 00:38:00,2884
2020-09-01 00:38:00,2880
2020-09-01 00:40:00,306
2020-09-01 00:40:00,554
2020-09-01 00:41:00,132
2020-09-01 00:43:00,265
2020-09-01 00:44:00,394
2020-09-01 00:44:00,339
2020-09-01 00:45:00,1730
2020-09-01 00:46:00,1679
2020-09-01 00:46:00,300
2020-09-01 00:47:00,346
2020-09-01 00:49:00,789
2020-09-01 00:49:00,671
2020-09-01 00:50:00,1006
2020-09-01 00:52:00,203
2020-09-01 00:52:00,1804
2020-09-01 00:52:00,1770
2020-09-01 00:53:00,1729
2020-09-01 00:53:00,1668
2020-09-01 00:53:00,405
2020-09-01 00:56:00,1434
2020-09-01 00:58:00,316
2020-09-01 00:59:00,198
